% Model,Simultaneous Measurement of Seawater-v0.mph
% Version,COMSOL 6.3.0.290
% Date,"Feb 18 2026, 00:26"
% Table,Umami Table - Umami-Evaluation
% lambda (m),d (nm),lambda0 (µm),Total transmittance (1)
5.800000000000001E-7,120,0.5800000000000001,0.8459360055606304
5.820000000000001E-7,94.99999999999999,0.5820000000000001,0.7932625053794312
5.820000000000001E-7,100,0.5820000000000001,0.8330521835340029
5.820000000000001E-7,104.99999999999999,0.5820000000000001,0.8475195035043965
5.820000000000001E-7,109.99999999999999,0.5820000000000001,0.8519219306867082
5.820000000000001E-7,115,0.5820000000000001,0.8513332457375492
5.820000000000001E-7,120,0.5820000000000001,0.8480783649846343
5.84E-7,94.99999999999999,0.5840000000000001,0.7594958784966284
5.84E-7,100,0.5840000000000001,0.820120094218429
5.84E-7,104.99999999999999,0.5840000000000001,0.8420255316931784
5.84E-7,109.99999999999999,0.5840000000000001,0.8500381229532293
5.84E-7,115,0.5840000000000001,0.8515564440873923
5.84E-7,120,0.5840000000000001,0.8496644176598052
5.86E-7,94.99999999999999,0.586,0.7088014201460683
5.86E-7,100,0.586,0.802056622751228
5.86E-7,104.99999999999999,0.586,0.8342389586799629
5.86E-7,109.99999999999999,0.586,0.8468515708935661
5.86E-7,115,0.586,0.850912875936461
5.86E-7,120,0.586,0.8506134804946003
5.88E-7,94.99999999999999,0.5880000000000001,0.630536851457104
5.88E-7,100,0.5880000000000001,0.7767252458401419
5.88E-7,104.99999999999999,0.5880000000000001,0.8234982459063328
5.88E-7,109.99999999999999,0.5880000000000001,0.8420839470922613
5.88E-7,115,0.5880000000000001,0.8492560733247896
5.88E-7,120,0.5880000000000001,0.8508339918756725
5.900000000000001E-7,94.99999999999999,0.5900000000000001,0.5072783605776302
5.900000000000001E-7,100,0.5900000000000001,0.7407777091082681
5.900000000000001E-7,104.99999999999999,0.5900000000000001,0.8088707117702993
5.900000000000001E-7,109.99999999999999,0.5900000000000001,0.8353726713909377
5.900000000000001E-7,115,0.5900000000000001,0.8464070636751682
5.900000000000001E-7,120,0.5900000000000001,0.8502200981550506
5.92E-7,94.99999999999999,0.592,0.31914432920440217
5.92E-7,100,0.592,0.6888589463972514
5.92E-7,104.99999999999999,0.592,0.7890099693208302
5.92E-7,109.99999999999999,0.592,0.826235595840578
5.92E-7,115,0.592,0.8421428542832018
5.92E-7,120,0.592,0.848647093492774
5.94E-7,94.99999999999999,0.5940000000000001,0.09110425718135422
5.94E-7,100,0.5940000000000001,0.6124203038104238
5.94E-7,104.99999999999999,0.5940000000000001,0.761927837286283
5.94E-7,109.99999999999999,0.5940000000000001,0.8140184390366346
5.94E-7,115,0.5940000000000001,0.8361802837226244
5.94E-7,120,0.5940000000000001,0.8459652841538098
5.960000000000001E-7,94.99999999999999,0.5960000000000001,0.007862967423860206
5.960000000000001E-7,100,0.5960000000000001,0.49874816330173616
5.960000000000001E-7,104.99999999999999,0.5960000000000001,0.7246296627582182
5.960000000000001E-7,109.99999999999999,0.5960000000000001,0.797815361480632
5.960000000000001E-7,115,0.5960000000000001,0.8281530958176635
5.960000000000001E-7,120,0.5960000000000001,0.8419916610076335
5.98E-7,94.99999999999999,0.5980000000000001,0.22225944206632417
5.98E-7,100,0.5980000000000001,0.3345242515581876
5.98E-7,104.99999999999999,0.5980000000000001,0.672544931763554
5.98E-7,109.99999999999999,0.5980000000000001,0.7763469328702541
5.98E-7,115,0.5980000000000001,0.8175789215287466
5.98E-7,120,0.5980000000000001,0.8364984717100584
6.000000000000001E-7,94.99999999999999,0.6000000000000001,0.5343889172336502
6.000000000000001E-7,100,0.6000000000000001,0.13049134562852646
6.000000000000001E-7,104.99999999999999,0.6000000000000001,0.5986556959792666
6.000000000000001E-7,109.99999999999999,0.6000000000000001,0.7477657267874908
